week_dt,TV,radio,newspaper,sales,consumer_index
2016-09-01,230.1,37.8,69.2,22.1,3.118933879300509
2016-09-08,44.5,39.3,45.1,10.4,3.7722885354979416
2016-09-15,17.2,45.9,69.3,9.3,6.602882336416362
2016-09-22,151.5,41.3,58.5,18.5,4.252268936493067
2016-09-29,180.8,10.8,58.4,12.9,4.768574966821767
2016-10-06,8.7,48.9,75.0,7.2,4.905611574766307
2016-10-13,57.5,32.8,23.5,11.8,2.9817427139496786
2016-10-20,120.2,19.6,11.6,13.2,4.956582992245129
2016-10-27,8.6,2.1,1.0,4.8,2.378291364691871
2016-11-03,199.8,2.6,21.2,10.6,2.3203000004578325
2016-11-10,66.1,5.8,24.2,8.6,4.0629281481256525
2016-11-17,214.7,24.0,4.0,17.4,4.380859084456873
2016-11-24,23.8,35.1,65.9,9.2,5.447394304519586
2016-12-01,97.5,7.6,7.2,9.7,1.5856688212593597
2016-12-08,204.1,32.9,46.0,19.0,3.4221470353542425
2016-12-15,195.4,47.7,52.9,22.4,4.83380218330877
2016-12-22,67.8,36.6,114.0,12.5,4.58346490521331
2016-12-29,281.4,39.6,55.8,24.4,1.2921246638623547
2017-01-05,69.2,20.5,18.3,11.3,3.607865551169718
2017-01-12,147.3,23.9,19.1,14.6,5.010083008207914
2017-01-19,218.4,27.7,53.4,18.0,3.20166166831139
2017-01-26,237.4,5.1,23.5,12.5,3.9059370607490074
2017-02-02,13.2,15.9,49.6,5.6,5.079588440063953
2017-02-09,228.3,16.9,26.2,15.5,4.404968711064299
2017-02-16,62.3,12.6,18.3,9.7,4.035934853023417
2017-02-23,262.9,3.5,19.5,12.0,3.564196788674652
2017-03-02,142.9,29.3,12.6,15.0,4.780338364119114
2017-03-09,240.1,16.7,22.9,15.9,4.119039870169805
2017-03-16,248.8,27.1,22.9,18.9,4.742581260065682
2017-03-23,70.6,16.0,40.8,10.5,4.068650201021589
2017-03-30,292.9,28.3,43.2,21.4,4.585775191450277
2017-04-06,112.9,17.4,38.6,11.9,3.1130678684109787
2017-04-13,97.2,1.5,30.0,9.6,4.305227623220938
2017-04-20,265.6,20.0,0.3,17.4,4.544100081396542
2017-04-27,95.7,1.4,7.4,9.5,5.904177019499343
2017-05-04,290.7,4.1,8.5,12.8,5.827622101768493
2017-05-11,266.9,43.8,5.0,25.4,3.955500004330913
2017-05-18,74.7,49.4,45.7,14.7,3.7528944225556806
2017-05-25,43.1,26.7,35.1,10.1,4.586127708064174
2017-06-01,228.0,37.7,32.0,21.5,4.726490050772266
2017-06-08,202.5,22.3,31.6,16.6,2.895527997820447
2017-06-15,177.0,33.4,38.7,17.1,3.637769880679905
2017-06-22,293.6,27.7,1.8,20.7,3.4405352849954802
2017-06-29,206.9,8.4,26.4,12.9,5.498289389378931
2017-07-06,25.1,25.7,43.3,8.5,6.356069203297574
2017-07-13,175.1,22.5,31.5,14.9,4.826464168345913
2017-07-20,89.7,9.9,35.7,10.6,3.131464060484509
2017-07-27,239.9,41.5,18.5,23.2,4.024021812131064
2017-08-03,227.2,15.8,49.9,14.8,4.666723135500831
2017-08-10,66.9,11.7,36.8,9.7,4.197087495450408
2017-08-17,199.8,3.1,34.6,11.4,2.63997727591536
2017-08-24,100.4,9.6,3.6,10.7,2.700796983527809
2017-08-31,216.4,41.7,39.6,22.6,4.828673633677489
2017-09-07,182.6,46.2,58.7,21.2,3.797521241716193
2017-09-14,262.7,28.8,15.9,20.2,3.794758419311149
2017-09-21,198.9,49.4,60.0,23.7,3.12083263439633
2017-09-28,7.3,28.1,41.4,5.5,4.709257464016004
2017-10-05,136.2,19.2,16.6,13.2,5.28380349432767
2017-10-12,210.8,49.6,37.7,23.8,3.4181365366532233
2017-10-19,210.7,29.5,9.3,18.4,5.506635134777033
2017-10-26,53.5,2.0,21.4,8.1,4.612777906951625
2017-11-02,261.3,42.7,54.7,24.2,4.245158871125842
2017-11-09,239.3,15.5,27.3,15.7,4.2274061255606625
2017-11-16,102.7,29.6,8.4,14.0,2.2992365091187987
2017-11-23,131.1,42.8,28.9,18.0,4.760500299727246
2017-11-30,69.0,9.3,0.9,9.3,4.249848184528421
2017-12-07,31.5,24.6,2.2,9.5,6.893649565950584
2017-12-14,139.3,14.5,10.2,13.4,2.3615301878832673
2017-12-21,237.4,27.5,11.0,18.9,3.0094424372671043
2017-12-28,216.8,43.9,27.2,22.3,2.759164276828832
2018-01-04,199.1,30.6,38.7,18.3,2.855038321979298
2018-01-11,109.8,14.3,31.7,12.4,2.8266496817640396
2018-01-18,26.8,33.0,19.3,8.8,5.4966752005163055
2018-01-25,129.4,5.7,31.3,11.0,4.616257064609057
2018-02-01,213.4,24.6,13.1,17.0,4.38586892861529
2018-02-08,16.9,43.7,89.4,8.7,2.469882650072172
2018-02-15,27.5,1.6,20.7,6.9,5.380094095993491
2018-02-22,120.5,28.5,14.2,14.2,3.3580048044094855
2018-03-01,5.4,29.9,9.4,5.3,2.9925430990552386
2018-03-08,116.0,7.7,23.1,11.0,4.808445631577227
2018-03-15,76.4,26.7,22.3,11.8,4.1864839017301465
2018-03-22,239.8,4.1,36.9,12.3,5.598661512957148
2018-03-29,75.3,20.3,32.5,11.3,2.654728940177753
2018-04-05,68.4,44.5,35.6,13.6,4.1405303436629595
2018-04-12,213.5,43.0,33.8,21.7,3.7735894870063795
2018-04-19,193.2,18.4,65.7,15.2,4.685206395791676
2018-04-26,76.3,27.5,16.0,12.0,5.038266045602985
2018-05-03,110.7,40.6,63.2,16.0,3.1846738890591597
2018-05-10,88.3,25.5,73.4,12.9,4.2210198264134915
2018-05-17,109.8,47.8,51.4,16.7,3.3010288703120017
2018-05-24,134.3,4.9,9.3,11.2,4.6622938095488875
2018-05-31,28.6,1.5,33.0,7.3,1.8196515598090608
2018-06-07,217.7,33.5,59.0,19.4,3.710852191998122
2018-06-14,250.9,36.5,72.3,22.2,4.940536821593132
2018-06-21,107.4,14.0,10.9,11.5,3.794923685950575
2018-06-28,163.3,31.6,52.9,16.9,5.557262540755072
2018-07-05,197.6,3.5,5.9,11.7,2.912989869956921
2018-07-12,184.9,21.0,22.0,15.5,3.7349910342372565
2018-07-19,289.7,42.3,51.2,25.4,3.8143544018467974
2018-07-26,135.2,41.7,45.9,17.2,3.8655563578845986
2018-08-02,222.4,4.3,49.8,11.7,3.938690278856095
2018-08-09,296.4,36.3,100.9,23.8,4.224121728147247
2018-08-16,280.2,10.1,21.4,14.8,5.344695826056233
2018-08-23,187.9,17.2,17.9,14.7,4.021948405484119
2018-08-30,238.2,34.3,5.3,20.7,1.6166438643617282
2018-09-06,137.9,46.4,59.0,19.2,3.66600435599158
2018-09-13,25.0,11.0,29.7,7.2,3.5883992838807877
2018-09-20,90.4,0.3,23.2,8.7,4.073669818818423
2018-09-27,13.1,0.4,25.6,5.3,4.2159367367444895
2018-10-04,255.4,26.9,5.5,19.8,3.131632298274127
2018-10-11,225.8,8.2,56.5,13.4,2.579941034604194
2018-10-18,241.7,38.0,23.2,21.8,4.197520137062165
2018-10-25,175.7,15.4,2.4,14.1,6.0820404389027285
2018-11-01,209.6,20.6,10.7,15.9,5.152834965499082
2018-11-08,78.2,46.8,34.5,14.6,3.345825248760565
2018-11-15,75.1,35.0,52.7,12.6,4.483257753467477
2018-11-22,139.2,14.3,25.6,12.2,4.755163115064658
2018-11-29,76.4,0.8,14.8,9.4,5.6044407870266015
2018-12-06,125.7,36.9,79.2,15.9,3.9454090358626637
2018-12-13,19.4,16.0,22.3,6.6,4.641265163826247
2018-12-20,141.3,26.8,46.2,15.5,2.140900298246363
2018-12-27,18.8,21.7,50.4,7.0,4.6808129904175235
2019-01-03,224.0,2.4,15.6,11.6,3.8307529152258413
2019-01-10,123.1,34.6,12.4,15.2,3.408405040944399
2019-01-17,229.5,32.3,74.2,19.7,3.568489520891365
2019-01-24,87.2,11.8,25.9,10.6,4.379705618316856
2019-01-31,7.8,38.9,50.6,6.6,3.863097446166595
2019-02-07,80.2,0.0,9.2,8.8,4.3460792900113265
2019-02-14,220.3,49.0,3.2,24.7,4.510414104458025
2019-02-21,59.6,12.0,43.1,9.7,3.021393978905294
2019-02-28,0.7,39.6,8.7,1.6,3.812336866146978
2019-03-07,265.2,2.9,43.0,12.7,2.992430725605928
2019-03-14,8.4,27.2,2.1,5.7,2.9607408168677996
2019-03-21,219.8,33.5,45.1,19.6,2.8978723122867662
2019-03-28,36.9,38.6,65.6,10.8,2.5775443258866986
2019-04-04,48.3,47.0,8.5,11.6,4.133222808513173
2019-04-11,25.6,39.0,9.3,9.5,3.490601323689361
2019-04-18,273.7,28.9,59.7,20.8,5.446564434135845
2019-04-25,43.0,25.9,20.5,9.6,2.8673823710462285
2019-05-02,184.9,43.9,1.7,20.7,3.5766022188847177
2019-05-09,73.4,17.0,12.9,10.9,6.194065043960311
2019-05-16,193.7,35.4,75.6,19.2,4.262762255129461
2019-05-23,220.5,33.2,37.9,20.1,3.281350834692154
2019-05-30,104.6,5.7,34.4,10.4,3.8658861008957075
2019-06-06,96.2,14.8,38.9,11.4,4.461059324749072
2019-06-13,140.3,1.9,9.0,10.3,3.3035812617870706
2019-06-20,240.1,7.3,8.7,13.2,4.288202005244357
2019-06-27,243.2,49.0,44.3,25.4,4.740482826568774
2019-07-04,38.0,40.3,11.9,10.9,3.3753814676623435
2019-07-11,44.7,25.8,20.6,10.1,3.8132758977556565
2019-07-18,280.7,13.9,37.0,16.1,4.152521138645923
2019-07-25,121.0,8.4,48.7,11.6,3.236429091777558
2019-08-01,197.6,23.3,14.2,16.6,4.176419452501014
2019-08-08,171.3,39.7,37.7,19.0,4.625988722261207
2019-08-15,187.8,21.1,9.5,15.6,6.4867419105904
2019-08-22,4.1,11.6,5.7,3.2,4.662341665644608
2019-08-29,93.9,43.5,50.5,15.3,2.8695762189697045
2019-09-05,149.8,1.3,24.3,10.1,3.8612722080735304
2019-09-12,11.7,36.9,45.2,7.3,5.881739155142155
2019-09-19,131.7,18.4,34.6,12.9,3.6872589554295816
2019-09-26,172.5,18.1,30.7,14.4,3.5325460794434758
2019-10-03,85.7,35.8,49.3,13.3,3.05210932459261
2019-10-10,188.4,18.1,25.6,14.9,3.7158599458193162
2019-10-17,163.5,36.8,7.4,18.0,4.547572133575349
2019-10-24,117.2,14.7,5.4,11.9,5.992044919181202
2019-10-31,234.5,3.4,84.8,11.9,4.424194422564749
2019-11-07,17.9,37.6,21.6,8.0,2.41095889515948
2019-11-14,206.8,5.2,19.4,12.2,3.2170378542983586
2019-11-21,215.4,23.6,57.6,17.1,6.215465556506793
2019-11-28,284.3,10.6,6.4,15.0,3.9566367856492572
2019-12-05,50.0,11.6,18.4,8.4,5.567565688418311
2019-12-12,164.5,20.9,47.4,14.5,3.9422118679250437
2019-12-19,19.6,20.1,17.0,7.6,3.369512879864682
2019-12-26,168.4,7.1,12.8,11.7,5.496157141812443
2020-01-02,222.4,3.4,13.1,11.5,3.7616040925993457
2020-01-09,276.9,48.9,41.8,27.0,5.072020425592056
2020-01-16,248.4,30.2,20.3,20.2,4.595907702140728
2020-01-23,170.2,7.8,35.2,11.7,3.9814037814033663
2020-01-30,276.7,2.3,23.7,11.8,2.647252837111261
2020-02-06,165.6,10.0,17.6,12.6,3.1001472617937256
2020-02-13,156.6,2.6,8.3,10.5,4.00230113976484
2020-02-20,218.5,5.4,27.4,12.2,4.782178932056532
2020-02-27,56.2,5.7,29.7,8.7,5.133120163339035
2020-03-05,287.6,43.0,71.8,26.2,4.41966447005383
2020-03-12,253.8,21.3,30.0,17.6,5.253279716396845
2020-03-19,205.0,45.1,19.6,22.6,5.196692542773453
2020-03-26,139.5,2.1,26.6,10.3,2.8613624813928116
2020-04-02,191.1,28.7,18.2,17.3,3.8984210056701847
2020-04-09,286.0,13.9,3.7,15.9,3.831364589806503
2020-04-16,18.7,12.1,23.4,6.7,3.610295155433337
2020-04-23,39.5,41.1,5.8,10.8,2.5598438244347843
2020-04-30,75.5,10.8,6.0,9.9,2.430930861713996
2020-05-07,17.2,4.1,31.6,5.9,4.701407128874933
2020-05-14,166.8,42.0,3.6,19.6,3.534686263456306
2020-05-21,149.7,35.6,6.0,17.3,4.85926184705936
2020-05-28,38.2,3.7,13.8,7.6,5.6548168917652895
2020-06-04,94.2,4.9,8.1,9.7,3.005703667447543
2020-06-11,177.0,9.3,6.4,12.8,3.5542897483095612
2020-06-18,283.6,42.0,66.2,25.5,3.818238933492789
2020-06-25,232.1,8.6,8.7,13.4,3.3354414154199237
